week_start,district_id,district_name,disease_code,disease_name,cases_last_7d,cases_previous_7d,week_on_week_change_pct,incidence_per_100k,deaths_last_7d,severity,map_color_hint
2026-06-01,UG-D001,Kampala,MAL,Malaria,2430,2454,-1.0,127.89,72,High,red
2026-06-01,UG-D001,Kampala,ARI,Acute respiratory infection,1998,1902,5.0,105.16,0,Moderate,orange
2026-06-01,UG-D001,Kampala,DIA,Diarrhoeal disease,567,702,-19.2,29.84,0,Watch,yellow
2026-06-01,UG-D001,Kampala,TB,Tuberculosis,53,48,10.4,2.79,1,Watch,yellow
2026-06-01,UG-D001,Kampala,HIV,HIV positive tests,124,166,-25.3,6.53,0,Watch,yellow
2026-06-01,UG-D001,Kampala,MEA,Measles,12,17,-29.4,0.63,0,Critical,dark red
2026-06-01,UG-D001,Kampala,CHO,Cholera,12,16,-25.0,0.63,0,Critical,dark red
2026-06-01,UG-D001,Kampala,TYP,Typhoid,404,369,9.5,21.26,0,Watch,yellow
2026-06-01,UG-D001,Kampala,MAT,Maternal complications,41,39,5.1,2.16,1,Watch,yellow
2026-06-01,UG-D001,Kampala,NEO,Neonatal sepsis,49,64,-23.4,2.58,0,Watch,yellow
2026-06-01,UG-D002,Wakiso,MAL,Malaria,1422,1358,4.7,54.69,31,Moderate,orange
2026-06-01,UG-D002,Wakiso,ARI,Acute respiratory infection,1477,1053,40.3,56.81,0,Moderate,orange
2026-06-01,UG-D002,Wakiso,DIA,Diarrhoeal disease,661,451,46.6,25.42,0,Moderate,orange
2026-06-01,UG-D002,Wakiso,TB,Tuberculosis,59,60,-1.7,2.27,1,Watch,yellow
2026-06-01,UG-D002,Wakiso,HIV,HIV positive tests,175,165,6.1,6.73,0,Watch,yellow
2026-06-01,UG-D002,Wakiso,MEA,Measles,12,8,50.0,0.46,0,Critical,dark red
2026-06-01,UG-D002,Wakiso,CHO,Cholera,4,2,100.0,0.15,0,High,red
2026-06-01,UG-D002,Wakiso,TYP,Typhoid,383,480,-20.2,14.73,0,Watch,yellow
2026-06-01,UG-D002,Wakiso,MAT,Maternal complications,280,278,0.7,10.77,4,Watch,yellow
2026-06-01,UG-D002,Wakiso,NEO,Neonatal sepsis,213,141,51.1,8.19,5,Moderate,orange
2026-06-01,UG-D003,Mukono,MAL,Malaria,800,656,22.0,114.29,26,Moderate,orange
2026-06-01,UG-D003,Mukono,ARI,Acute respiratory infection,494,517,-4.4,70.57,0,Moderate,orange
2026-06-01,UG-D003,Mukono,DIA,Diarrhoeal disease,306,325,-5.8,43.71,0,Watch,yellow
2026-06-01,UG-D003,Mukono,TB,Tuberculosis,21,14,50.0,3.0,0,Moderate,orange
