month,district_id,district_name,population_2026_est,births_30d,all_cause_deaths_30d,under5_deaths_30d,maternal_deaths_30d,estimated_annual_population_growth_pct,dpt3_coverage_pct,measles1_coverage_pct,reporting_completeness_pct,reporting_timeliness_pct,avg_bed_occupancy_pct,facilities_with_stockout_count,referrals_out_30d,claims_submitted_30d
2026-05,UG-D001,Kampala,1900000,4386,883,170,0,3.37,86.8,83.5,82.5,71.5,55.6,2,30,714
2026-05,UG-D002,Wakiso,2600000,8145,902,168,3,2.81,78.2,73.4,78.3,64.0,75.0,2,147,768
2026-05,UG-D003,Mukono,700000,2603,187,19,0,2.62,80.2,78.4,95.8,92.4,55.7,2,133,706
2026-05,UG-D004,Masaka,420000,1315,206,31,0,3.71,92.1,92.1,93.6,87.3,73.1,3,291,563
2026-05,UG-D005,Luwero,520000,1825,181,29,0,2.32,90.1,86.8,89.2,76.4,57.8,5,169,482
2026-05,UG-D006,Mityana,390000,1189,112,12,1,3.58,79.9,75.4,76.6,71.3,72.0,1,235,185
2026-05,UG-D007,Mubende,680000,1566,429,60,2,2.81,71.6,68.5,71.9,70.0,74.2,4,288,500
2026-05,UG-D008,Mpigi,310000,1032,106,22,1,3.94,73.1,71.1,91.3,88.5,52.1,3,60,109
2026-05,UG-D009,Kayunga,420000,1032,231,23,1,2.79,76.4,74.8,87.1,80.0,64.6,5,371,114
2026-05,UG-D010,Kalangala,65000,178,34,4,1,3.46,88.5,85.8,85.5,74.4,81.3,4,158,378
2026-05,UG-D011,Buvuma,120000,431,57,6,0,2.56,86.6,82.6,71.9,59.3,56.1,1,106,712
2026-05,UG-D012,Jinja,520000,1573,337,72,1,2.38,72.0,70.4,92.1,89.1,83.7,1,252,160
2026-05,UG-D013,Iganga,620000,2033,164,24,0,3.28,81.2,79.0,83.8,78.6,74.8,1,108,245
2026-05,UG-D014,Mayuge,570000,1731,338,57,2,3.08,72.2,68.7,80.1,75.9,80.3,2,376,101
2026-05,UG-D015,Kamuli,600000,1600,240,34,2,3.49,69.5,63.9,82.8,75.5,82.0,0,58,313
2026-05,UG-D016,Mbale,580000,1424,361,40,0,4.04,92.0,86.0,95.0,87.1,86.0,4,185,109
2026-05,UG-D017,Tororo,650000,1638,271,37,0,3.59,91.9,86.1,90.3,79.0,55.4,4,139,287
2026-05,UG-D018,Busia,420000,1033,170,25,0,2.78,78.5,76.2,89.3,82.0,48.9,4,328,241
2026-05,UG-D019,Soroti,420000,1591,240,43,1,3.27,73.2,68.1,86.4,76.2,76.4,1,325,535
2026-05,UG-D020,Kumi,310000,1172,196,36,1,2.61,82.7,77.3,79.0,73.8,86.6,3,327,332
2026-05,UG-D021,Kapchorwa,130000,480,47,6,0,2.68,66.2,63.9,84.2,74.2,76.0,4,180,291
2026-05,UG-D022,Moroto,150000,499,72,12,1,3.64,71.9,68.8,89.5,76.0,68.7,6,317,263
2026-05,UG-D023,Kotido,260000,905,118,25,0,2.46,89.4,85.6,86.1,73.0,52.8,3,336,531
2026-05,UG-D024,Kaabong,180000,521,103,22,0,2.89,73.9,69.1,77.3,63.0,66.6,0,131,808
2026-05,UG-D025,Napak,210000,697,120,23,1,3.69,84.3,79.9,73.9,67.4,64.8,3,259,179
2026-05,UG-D026,Gulu,560000,1317,255,37,1,2.8,81.4,78.9,81.6,67.7,63.7,1,125,308
2026-05,UG-D027,Lira,540000,1431,320,42,2,3.06,72.3,70.8,81.4,77.1,74.0,0,353,417
2026-05,UG-D028,Arua,650000,2342,288,28,0,3.72,91.1,87.2,78.3,64.8,86.8,0,196,105
2026-05,UG-D029,Yumbe,700000,1552,452,72,0,3.1,88.2,84.3,72.8,61.8,84.8,1,191,466
2026-05,UG-D030,Koboko,330000,975,85,11,0,3.36,75.8,73.2,89.2,84.3,91.5,4,368,632
2026-05,UG-D031,Adjumani,420000,1110,128,14,0,3.04,86.7,83.9,86.1,79.6,69.6,0,143,199
2026-05,UG-D032,Moyo,150000,405,92,12,0,4.0,68.2,67.9,76.3,67.0,75.6,5,146,511
2026-05,UG-D033,Nebbi,320000,900,104,16,0,2.77,71.2,70.6,89.3,75.3,64.6,2,193,401
2026-05,UG-D034,Masindi,470000,1220,142,26,0,3.26,67.4,66.4,75.1,66.1,76.7,4,86,227
2026-05,UG-D035,Hoima,430000,1421,147,22,2,3.48,77.2,72.4,80.7,70.4,72.4,0,360,695
2026-05,UG-D036,Kiryandongo,370000,975,210,29,1,3.23,85.9,81.8,86.7,85.7,74.9,4,119,683
2026-05,UG-D037,Fort Portal,290000,1053,160,24,0,3.47,68.6,68.4,76.2,61.9,86.0,2,306,840
2026-05,UG-D038,Kabarole,360000,989,143,16,0,2.7,93.5,87.9,91.1,85.8,88.8,2,30,104
2026-05,UG-D039,Kasese,850000,1899,448,85,1,2.76,74.9,70.4,83.5,78.0,84.0,0,253,686
2026-05,UG-D040,Bundibugyo,300000,754,188,34,0,2.39,67.9,65.9,74.7,65.2,66.2,4,249,103
2026-05,UG-D041,Ntoroko,100000,320,62,7,0,3.18,82.8,79.9,82.2,74.3,60.4,3,53,839
2026-05,UG-D042,Mbarara,500000,1137,167,29,0,2.74,80.1,76.6,88.1,82.7,63.7,2,34,360
2026-05,UG-D043,Bushenyi,250000,671,124,22,1,3.42,89.0,87.6,81.4,71.0,81.8,5,340,640
2026-05,UG-D044,Ntungamo,600000,1580,228,37,2,2.53,68.7,67.6,83.3,82.2,65.4,4,246,319
2026-05,UG-D045,Rukungiri,360000,954,124,12,0,3.63,92.3,91.0,76.3,66.4,92.6,5,190,451
2026-05,UG-D046,Kabale,280000,657,165,29,0,3.57,67.8,62.5,90.0,87.0,49.2,1,208,452
2026-05,UG-D047,Kisoro,340000,944,171,24,1,2.78,82.0,78.8,84.8,72.7,82.0,2,37,558
2026-05,UG-D048,Kanungu,280000,1062,144,14,1,2.76,93.0,88.0,78.9,71.0,58.3,2,64,723
2026-05,UG-D049,Isingiro,620000,2160,236,23,0,2.38,68.7,65.3,91.6,85.9,82.2,5,67,109
2026-05,UG-D050,Sembabule,310000,803,146,17,1,2.91,78.6,74.7,89.8,85.6,68.4,2,191,320
