facility_id,facility_name,district_id,district_name,region,ownership,facility_type,latitude,longitude,beds_total,beds_occupied,bed_occupancy_pct,oxygen_available,basic_lab_available,maternity_available,last_report_time,report_status
FAC-0001,Kampala Regional Referral Hospital,UG-D001,Kampala,Central,GOV,Regional Referral Hospital,0.3648,32.6022,415,272,65.5,Yes,Yes,No,2026-06-07 18:00,Late
FAC-0002,Kampala South HC II,UG-D001,Kampala,Central,GOV,HC II,0.3096,32.5,18,9,50.0,No,No,Yes,2026-06-06 18:00,Submitted
FAC-0003,Wakiso General Hospital,UG-D002,Wakiso,Central,GOV,General Hospital,0.4253,32.4175,190,137,72.1,Yes,Yes,Yes,2026-06-07 18:00,Submitted
FAC-0004,Wakiso Border HC II,UG-D002,Wakiso,Central,GOV,HC II,0.3644,32.438,15,12,80.0,Partial,No,Yes,2026-06-07 18:00,Submitted
FAC-0005,Mukono HC IV,UG-D003,Mukono,Central,GOV,HC IV,0.3321,32.7318,48,44,91.7,Yes,Yes,Yes,2026-06-07 18:00,Submitted
FAC-0006,Mukono Rural HC IV,UG-D003,Mukono,Central,GOV,HC IV,0.394,32.827,59,49,83.1,No,Yes,No,2026-06-07 18:00,Submitted
FAC-0007,Masaka General Hospital,UG-D004,Masaka,Central,GOV,General Hospital,-0.3156,31.7757,151,140,92.7,Yes,Yes,Yes,2026-06-07 18:00,Draft
FAC-0008,Masaka Central HC III,UG-D004,Masaka,Central,GOV,HC III,-0.2432,31.6758,26,21,80.8,Partial,No,Yes,Not submitted,Late
FAC-0009,Luwero HC IV,UG-D005,Luwero,Central,GOV,HC IV,0.8429,32.4781,60,45,75.0,Partial,Yes,No,2026-06-07 18:00,Submitted
FAC-0010,Luwero Rural HC II,UG-D005,Luwero,Central,GOV,HC II,0.9001,32.379,12,4,33.3,Yes,No,Yes,2026-06-07 18:00,Submitted
FAC-0011,Mityana HC IV,UG-D006,Mityana,Central,GOV,HC IV,0.3823,32.036,71,34,47.9,Yes,Yes,No,2026-06-07 18:00,Draft
FAC-0012,Mityana Border HC II,UG-D006,Mityana,Central,GOV,HC II,0.4264,32.0538,9,3,33.3,No,No,Yes,2026-06-07 20:30,Missing
