report_date,facility_id,facility_name,district_name,staff_shift_owner,opd_attendance,admissions,referrals_out,births,deaths,malaria_cases,ari_cases,diarrhoea_cases,immunisations_given,stockout_flags,submitted_to_moh_queue,report_generated_at
2026-06-07,FAC-0001,Kampala Regional Referral Hospital,Kampala,Records Officer,233,34,12,0,3,48,33,8,79,2,Yes,2026-06-07 18:05
2026-06-07,FAC-0002,Kampala South HC II,Kampala,Records Officer,92,30,11,0,5,30,41,2,32,2,Yes,2026-06-07 18:05
2026-06-07,FAC-0003,Wakiso General Hospital,Wakiso,Nurse In-Charge,136,30,12,15,1,11,13,16,5,0,Yes,2026-06-07 18:05
2026-06-07,FAC-0004,Wakiso Border HC II,Wakiso,Nurse In-Charge,97,4,3,16,0,34,5,22,22,0,Yes,2026-06-07 18:05
2026-06-07,FAC-0005,Mukono HC IV,Mukono,Clinical Officer,245,3,11,0,0,27,31,1,56,0,Yes,2026-06-07 18:05
2026-06-07,FAC-0006,Mukono Rural HC IV,Mukono,Clinical Officer,210,24,2,0,2,19,0,1,55,2,Yes,2026-06-07 18:05
2026-06-07,FAC-0007,Masaka General Hospital,Masaka,Nurse In-Charge,128,29,11,11,2,52,55,10,67,2,Yes,2026-06-07 18:05
2026-06-07,FAC-0008,Masaka Central HC III,Masaka,Nurse In-Charge,163,32,3,10,2,38,3,23,17,0,Yes,2026-06-07 18:05
2026-06-07,FAC-0009,Luwero HC IV,Luwero,Clinical Officer,229,18,10,0,3,48,53,4,6,0,Yes,2026-06-07 18:05
2026-06-07,FAC-0010,Luwero Rural HC II,Luwero,Nurse In-Charge,141,9,12,9,0,3,50,15,57,1,Yes,2026-06-07 18:05
2026-06-07,FAC-0011,Mityana HC IV,Mityana,Records Officer,90,0,11,0,1,56,12,18,46,0,Yes,2026-06-07 18:05
2026-06-07,FAC-0012,Mityana Border HC II,Mityana,Clinical Officer,186,34,4,18,5,16,15,4,73,3,Yes,2026-06-07 18:05
2026-06-07,FAC-0013,Mubende HC IV,Mubende,Clinical Officer,234,35,5,14,4,49,26,1,21,1,Yes,2026-06-07 18:05
2026-06-07,FAC-0014,Mubende South HC III,Mubende,Clinical Officer,271,17,1,9,3,52,31,20,38,1,Yes,2026-06-07 18:05
2026-06-07,FAC-0015,Mpigi General Hospital,Mpigi,Nurse In-Charge,192,34,7,8,1,54,13,25,46,2,Yes,2026-06-07 18:05
2026-06-07,FAC-0016,Mpigi South HC IV,Mpigi,Clinical Officer,99,23,7,0,1,54,53,2,9,0,Yes,2026-06-07 18:05
2026-06-07,FAC-0017,Kayunga General Hospital,Kayunga,Records Officer,97,28,7,0,3,59,35,2,80,3,Yes,2026-06-07 18:05
2026-06-07,FAC-0018,Kayunga South HC IV,Kayunga,Nurse In-Charge,182,10,9,0,2,19,40,19,80,4,Yes,2026-06-07 18:05
2026-06-07,FAC-0019,Kalangala HC IV,Kalangala,Clinical Officer,61,29,7,15,0,39,8,13,4,2,Yes,2026-06-07 18:05
2026-06-07,FAC-0020,Kalangala North HC IV,Kalangala,Nurse In-Charge,226,4,9,17,4,41,11,8,65,3,Yes,2026-06-07 18:05
2026-06-07,FAC-0021,Buvuma General Hospital,Buvuma,Records Officer,146,3,4,3,0,31,33,17,21,4,Yes,2026-06-07 18:05
2026-06-07,FAC-0022,Buvuma Border HC III,Buvuma,Clinical Officer,195,18,5,17,2,23,45,22,20,4,Yes,2026-06-07 18:05
2026-06-07,FAC-0023,Jinja Regional Referral Hospital,Jinja,Nurse In-Charge,180,13,2,2,4,42,53,23,34,0,Yes,2026-06-07 18:05
2026-06-07,FAC-0024,Jinja Island HC III,Jinja,Records Officer,94,28,4,0,4,36,13,6,26,3,Yes,2026-06-07 18:05
2026-06-07,FAC-0025,Iganga General Hospital,Iganga,Records Officer,210,3,9,6,1,32,1,18,53,3,Yes,2026-06-07 18:05
2026-06-07,FAC-0026,Iganga Border HC III,Iganga,Clinical Officer,28,18,4,6,2,8,21,15,68,1,Yes,2026-06-07 18:05
2026-06-07,FAC-0027,Mayuge General Hospital,Mayuge,Records Officer,246,18,6,0,1,48,26,22,53,4,Yes,2026-06-07 18:05
2026-06-07,FAC-0028,Mayuge South HC IV,Mayuge,Records Officer,164,24,0,0,3,53,38,21,80,2,Yes,2026-06-07 18:05
2026-06-07,FAC-0029,Kamuli HC IV,Kamuli,Records Officer,123,14,7,0,5,20,35,23,23,4,Yes,2026-06-07 18:05
2026-06-07,FAC-0030,Kamuli South HC IV,Kamuli,Nurse In-Charge,277,30,12,17,5,65,21,18,22,4,Yes,2026-06-07 18:05
2026-06-07,FAC-0031,Mbale Regional Referral Hospital,Mbale,Records Officer,256,15,4,14,1,54,47,20,70,3,Yes,2026-06-07 18:05
2026-06-07,FAC-0032,Mbale Border HC II,Mbale,Nurse In-Charge,57,34,11,11,3,14,13,3,74,4,Yes,2026-06-07 18:05
2026-06-07,FAC-0033,Tororo HC IV,Tororo,Records Officer,137,14,1,4,3,38,42,16,4,2,Yes,2026-06-07 18:05
2026-06-07,FAC-0034,Tororo North HC II,Tororo,Nurse In-Charge,117,16,11,0,1,21,47,18,20,4,Yes,2026-06-07 18:05
2026-06-07,FAC-0035,Busia HC IV,Busia,Clinical Officer,79,26,4,15,0,27,21,18,56,0,Yes,2026-06-07 18:05
2026-06-07,FAC-0036,Busia North HC III,Busia,Clinical Officer,73,13,5,11,5,42,36,1,43,2,Yes,2026-06-07 18:05
2026-06-07,FAC-0037,Soroti General Hospital,Soroti,Nurse In-Charge,139,23,9,17,0,23,0,13,45,4,Yes,2026-06-07 18:05
2026-06-07,FAC-0038,Soroti Island HC II,Soroti,Clinical Officer,159,29,0,0,4,20,40,21,79,1,Yes,2026-06-07 18:05
2026-06-07,FAC-0039,Kumi General Hospital,Kumi,Nurse In-Charge,132,31,5,0,1,8,38,24,2,0,Yes,2026-06-07 18:05
2026-06-07,FAC-0040,Kumi North HC II,Kumi,Nurse In-Charge,175,28,2,0,5,4,45,23,11,0,Yes,2026-06-07 18:05
2026-06-07,FAC-0041,Kapchorwa HC IV,Kapchorwa,Clinical Officer,60,32,4,0,0,7,44,18,39,1,Yes,2026-06-07 18:05
