snapshot_date,facility_id,facility_name,district_name,commodity_name,program_area,quantity_on_hand,estimated_days_of_stock,stock_status,last_updated_by_role,demo_alert
2026-06-07,FAC-0001,Kampala Regional Referral Hospital,Kampala,ACT Artemether-Lumefantrine,malaria treatment,4260,12,Low <30 days,Pharmacist,Yes
2026-06-07,FAC-0001,Kampala Regional Referral Hospital,Kampala,Malaria RDTs,malaria diagnostics,3256,10,Low <30 days,Stores Assistant,Yes
2026-06-07,FAC-0001,Kampala Regional Referral Hospital,Kampala,Amoxicillin dispersible,childhood infection,2927,9,Low <30 days,Stores Assistant,Yes
2026-06-07,FAC-0001,Kampala Regional Referral Hospital,Kampala,Ceftriaxone injection,severe infection,2308,11,Low <30 days,Nurse In-Charge,Yes
2026-06-07,FAC-0001,Kampala Regional Referral Hospital,Kampala,ORS + Zinc,diarrhoea,1633,52,OK,Stores Assistant,No
2026-06-07,FAC-0001,Kampala Regional Referral Hospital,Kampala,Oxytocin,maternal health,1657,105,OK,Nurse In-Charge,No
2026-06-07,FAC-0001,Kampala Regional Referral Hospital,Kampala,DPT-HepB-Hib vaccine,immunisation,3360,60,OK,Stores Assistant,No
2026-06-07,FAC-0001,Kampala Regional Referral Hospital,Kampala,Measles-Rubella vaccine,immunisation,2341,52,OK,Stores Assistant,No
2026-06-07,FAC-0001,Kampala Regional Referral Hospital,Kampala,HIV rapid test kits,HIV testing,614,11,Low <30 days,Nurse In-Charge,Yes
2026-06-07,FAC-0001,Kampala Regional Referral Hospital,Kampala,ARV first-line regimen,HIV treatment,398,11,Low <30 days,Stores Assistant,Yes
2026-06-07,FAC-0001,Kampala Regional Referral Hospital,Kampala,TB fixed-dose combination,TB treatment,3735,6,Critical <7 days,Nurse In-Charge,Yes
2026-06-07,FAC-0001,Kampala Regional Referral Hospital,Kampala,Insulin vials,NCD care,2595,12,Low <30 days,Stores Assistant,Yes
2026-06-07,FAC-0002,Kampala South HC II,Kampala,ACT Artemether-Lumefantrine,malaria treatment,4453,43,OK,Stores Assistant,No
2026-06-07,FAC-0002,Kampala South HC II,Kampala,Malaria RDTs,malaria diagnostics,2736,103,OK,Pharmacist,No
2026-06-07,FAC-0002,Kampala South HC II,Kampala,Amoxicillin dispersible,childhood infection,4264,48,OK,Nurse In-Charge,No
